SEGGER J-Link V9.14a - Real time terminal output
SEGGER J-Link V13.0, SN=53000782
CM7_MAGIC=C07C07C7 CM7=23000000 CM4_MAGIC=C04C04C4 CM4=19384
CM7_MAGIC=C07C07C7 CM7=24000000 CM4_MAGIC=C04C04C4 CM4=20223
CM7_MAGIC=C07C07C7 CM7=25000000 CM4_MAGIC=C04C04C4 CM4=21062
CM7_MAGIC=C07C07C7 CM7=26000000 CM4_MAGIC=C04C04C4 CM4=21902
CM7_MAGIC=C07C07C7 CM7=27000000 CM4_MAGIC=C04C04C4 CM4=22741
CM7_MAGIC=C07C07C7 CM7=28000000 CM4_MAGIC=C04C04C4 CM4=23580
CM7_MAGIC=C07C07C7 CM7=29000000 CM4_MAGIC=C04C04C4 CM4=24420
CM7_MAGIC=C07C07C7 CM7=30000000 CM4_MAGIC=C04C04C4 CM4=25259
CM7_MAGIC=C07C07C7 CM7=31000000 CM4_MAGIC=C04C04C4 CM4=26099
CM7_MAGIC=C07C07C7 CM7=32000000 CM4_MAGIC=C04C04C4 CM4=26938
CM7_MAGIC=C07C07C7 CM7=33000000 CM4_MAGIC=C04C04C4 CM4=27777
CM7_MAGIC=C07C07C7 CM7=34000000 CM4_MAGIC=C04C04C4 CM4=28617
CM7_MAGIC=C07C07C7 CM7=35000000 CM4_MAGIC=C04C04C4 CM4=29456
CM7_MAGIC=C07C07C7 CM7=36000000 CM4_MAGIC=C04C04C4 CM4=30295
CM7_MAGIC=C07C07C7 CM7=37000000 CM4_MAGIC=C04C04C4 CM4=31135
CM7_MAGIC=C07C07C7 CM7=38000000 CM4_MAGIC=C04C04C4 CM4=31974
CM7_MAGIC=C07C07C7 CM7=39000000 CM4_MAGIC=C04C04C4 CM4=32813
CM7_MAGIC=C07C07C7 CM7=40000000 CM4_MAGIC=C04C04C4 CM4=33653
CM7_MAGIC=C07C07C7 CM7=41000000 CM4_MAGIC=C04C04C4 CM4=34492
CM7_MAGIC=C07C07C7 CM7=42000000 CM4_MAGIC=C04C04C4 CM4=35331
CM7_MAGIC=C07C07C7 CM7=43000000 CM4_MAGIC=C04C04C4 CM4=36171
CM7_MAGIC=C07C07C7 CM7=44000000 CM4_MAGIC=C04C04C4 CM4=37010
CM7_MAGIC=C07C07C7 CM7=45000000 CM4_MAGIC=C04C04C4 CM4=37849
CM7_MAGIC=C07C07C7 CM7=46000000 CM4_MAGIC=C04C04C4 CM4=38689
CM7_MAGIC=C07C07C7 CM7=47000000 CM4_MAGIC=C04C04C4 CM4=39528
CM7_MAGIC=C07C07C7 CM7=48000000 CM4_MAGIC=C04C04C4 CM4=40368
CM7_MAGIC=C07C07C7 CM7=49000000 CM4_MAGIC=C04C04C4 CM4=41207
CM7_MAGIC=C07C07C7 CM7=50000000 CM4_MAGIC=C04C04C4 CM4=42046
CM7_MAGIC=C07C07C7 CM7=51000000 CM4_MAGIC=C04C04C4 CM4=42886
CM7_MAGIC=C07C07C7 CM7=52000000 CM4_MAGIC=C04C04C4 CM4=43725
CM7_MAGIC=C07C07C7 CM7=53000000 CM4_MAGIC=C04C04C4 CM4=44564
CM7_MAGIC=C07C07C7 CM7=54000000 CM4_MAGIC=C04C04C4 CM4=45404
CM7_MAGIC=C07C07C7 CM7=55000000 CM4_MAGIC=C04C04C4 CM4=46243
CM7_MAGIC=C07C07C7 CM7=56000000 CM4_MAGIC=C04C04C4 CM4=47082
CM7_MAGIC=C07C07C7 CM7=57000000 CM4_MAGIC=C04C04C4 CM4=47922
CM7_MAGIC=C07C07C7 CM7=58000000 CM4_MAGIC=C04C04C4 CM4=48761
CM7_MAGIC=C07C07C7 CM7=59000000 CM4_MAGIC=C04C04C4 CM4=49600
CM7_MAGIC=C07C07C7 CM7=60000000 CM4_MAGIC=C04C04C4 CM4=50440
CM7_MAGIC=C07C07C7 CM7=61000000 CM4_MAGIC=C04C04C4 CM4=51279
CM7_MAGIC=C07C07C7 CM7=62000000 CM4_MAGIC=C04C04C4 CM4=52118
CM7_MAGIC=C07C07C7 CM7=63000000 CM4_MAGIC=C04C04C4 CM4=52958
CM7_MAGIC=C07C07C7 CM7=64000000 CM4_MAGIC=C04C04C4 CM4=53797
CM7_MAGIC=C07C07C7 CM7=65000000 CM4_MAGIC=C04C04C4 CM4=54636
CM7_MAGIC=C07C07C7 CM7=66000000 CM4_MAGIC=C04C04C4 CM4=55476
CM7_MAGIC=C07C07C7 CM7=67000000 CM4_MAGIC=C04C04C4 CM4=56315
CM7_MAGIC=C07C07C7 CM7=68000000 CM4_MAGIC=C04C04C4 CM4=57155
CM7_MAGIC=C07C07C7 CM7=69000000 CM4_MAGIC=C04C04C4 CM4=57994
CM7_MAGIC=C07C07C7 CM7=70000000 CM4_MAGIC=C04C04C4 CM4=58833
CM7_MAGIC=C07C07C7 CM7=71000000 CM4_MAGIC=C04C04C4 CM4=59673
CM7_MAGIC=C07C07C7 CM7=72000000 CM4_MAGIC=C04C04C4 CM4=60512
CM7_MAGIC=C07C07C7 CM7=73000000 CM4_MAGIC=C04C04C4 CM4=61351
CM7_MAGIC=C07C07C7 CM7=74000000 CM4_MAGIC=C04C04C4 CM4=62191
CM7_MAGIC=C07C07C7 CM7=75000000 CM4_MAGIC=C04C04C4 CM4=63030
CM7_MAGIC=C07C07C7 CM7=76000000 CM4_MAGIC=C04C04C4 CM4=63869
CM7_MAGIC=C07C07C7 CM7=77000000 CM4_MAGIC=C04C04C4 CM4=64709
CM7_MAGIC=C07C07C7 CM7=78000000 CM4_MAGIC=C04C04C4 CM4=65548
CM7_MAGIC=C07C07C7 CM7=79000000 CM4_MAGIC=C04C04C4 CM4=66387
CM7_MAGIC=C07C07C7 CM7=80000000 CM4_MAGIC=C04C04C4 CM4=67227
CM7_MAGIC=C07C07C7 CM7=81000000 CM4_MAGIC=C04C04C4 CM4=68066
CM7_MAGIC=C07C07C7 CM7=82000000 CM4_MAGIC=C04C04C4 CM4=68905
CM7_MAGIC=C07C07C7 CM7=83000000 CM4_MAGIC=C04C04C4 CM4=69745
CM7_MAGIC=C07C07C7 CM7=84000000 CM4_MAGIC=C04C04C4 CM4=70584
CM7_MAGIC=C07C07C7 CM7=85000000 CM4_MAGIC=C04C04C4 CM4=71424
CM7_MAGIC=C07C07C7 CM7=86000000 CM4_MAGIC=C04C04C4 CM4=72263
CM7_MAGIC=C07C07C7 CM7=87000000 CM4_MAGIC=C04C04C4 CM4=73102
CM7_MAGIC=C07C07C7 CM7=88000000 CM4_MAGIC=C04C04C4 CM4=73942
CM7_MAGIC=C07C07C7 CM7=89000000 CM4_MAGIC=C04C04C4 CM4=74781
CM7_MAGIC=C07C07C7 CM7=90000000 CM4_MAGIC=C04C04C4 CM4=75620
CM7_MAGIC=C07C07C7 CM7=91000000 CM4_MAGIC=C04C04C4 CM4=76460
CM7_MAGIC=C07C07C7 CM7=92000000 CM4_MAGIC=C04C04C4 CM4=77299
CM7_MAGIC=C07C07C7 CM7=93000000 CM4_MAGIC=C04C04C4 CM4=78138
CM7_MAGIC=C07C07C7 CM7=94000000 CM4_MAGIC=C04C04C4 CM4=78978
CM7_MAGIC=C07C07C7 CM7=95000000 CM4_MAGIC=C04C04C4 CM4=79817
CM7_MAGIC=C07C07C7 CM7=96000000 CM4_MAGIC=C04C04C4 CM4=80656
CM7_MAGIC=C07C07C7 CM7=97000000 CM4_MAGIC=C04C04C4 CM4=81496
CM7_MAGIC=C07C07C7 CM7=98000000 CM4_MAGIC=C04C04C4 CM4=82335
CM7_MAGIC=C07C07C7 CM7=99000000 CM4_MAGIC=C04C04C4 CM4=83174
CM7_MAGIC=C07C07C7 CM7=100000000 CM4_MAGIC=C04C04C4 CM4=84014
CM7_MAGIC=C07C07C7 CM7=101000000 CM4_MAGIC=C04C04C4 CM4=84853
CM7_MAGIC=C07C07C7 CM7=102000000 CM4_MAGIC=C04C04C4 CM4=85693
CM7_MAGIC=C07C07C7 CM7=103000000 CM4_MAGIC=C04C04C4 CM4=86532
CM7_MAGIC=C07C07C7 CM7=104000000 CM4_MAGIC=C04C04C4 CM4=87371
CM7_MAGIC=C07C07C7 CM7=105000000 CM4_MAGIC=C04C04C4 CM4=88211
CM7_MAGIC=C07C07C7 CM7=106000000 CM4_MAGIC=C04C04C4 CM4=89050
CM7_MAGIC=C07C07C7 CM7=107000000 CM4_MAGIC=C04C04C4 CM4=89889
CM7_MAGIC=C07C07C7 CM7=108000000 CM4_MAGIC=C04C04C4 CM4=90729
CM7_MAGIC=C07C07C7 CM7=109000000 CM4_MAGIC=C04C04C4 CM4=91568
CM7_MAGIC=C07C07C7 CM7=110000000 CM4_MAGIC=C04C04C4 CM4=92407
CM7_MAGIC=C07C07C7 CM7=111000000 CM4_MAGIC=C04C04C4 CM4=93247
CM7_MAGIC=C07C07C7 CM7=112000000 CM4_MAGIC=C04C04C4 CM4=94086
CM7_MAGIC=C07C07C7 CM7=113000000 CM4_MAGIC=C04C04C4 CM4=94925
CM7_MAGIC=C07C07C7 CM7=114000000 CM4_MAGIC=C04C04C4 CM4=95765
CM7_MAGIC=C07C07C7 CM7=115000000 CM4_MAGIC=C04C04C4 CM4=96604
CM7_MAGIC=C07C07C7 CM7=116000000 CM4_MAGIC=C04C04C4 CM4=97444
CM7_MAGIC=C07C07C7 CM7=117000000 CM4_MAGIC=C04C04C4 CM4=98283
CM7_MAGIC=C07C07C7 CM7=118000000 CM4_MAGIC=C04C04C4 CM4=99122
CM7_MAGIC=C07C07C7 CM7=119000000 CM4_MAGIC=C04C04C4 CM4=99962
CM7_MAGIC=C07C07C7 CM7=120000000 CM4_MAGIC=C04C04C4 CM4=100801
CM7_MAGIC=C07C07C7 CM7=121000000 CM4_MAGIC=C04C04C4 CM4=101640
CM7_MAGIC=C07C07C7 CM7=122000000 CM4_MAGIC=C04C04C4 CM4=102480
CM7_MAGIC=C07C07C7 CM7=123000000 CM4_MAGIC=C04C04C4 CM4=103319
CM7_MAGIC=C07C07C7 CM7=124000000 CM4_MAGIC=C04C04C4 CM4=104158
CM7_MAGIC=C07C07C7 CM7=125000000 CM4_MAGIC=C04C04C4 CM4=104998
CM7_MAGIC=C07C07C7 CM7=126000000 CM4_MAGIC=C04C04C4 CM4=105837
CM7_MAGIC=C07C07C7 CM7=127000000 CM4_MAGIC=C04C04C4 CM4=106676
CM7_MAGIC=C07C07C7 CM7=128000000 CM4_MAGIC=C04C04C4 CM4=107516
CM7_MAGIC=C07C07C7 CM7=129000000 CM4_MAGIC=C04C04C4 CM4=108355
CM7_MAGIC=C07C07C7 CM7=130000000 CM4_MAGIC=C04C04C4 CM4=109194
CM7_MAGIC=C07C07C7 CM7=131000000 CM4_MAGIC=C04C04C4 CM4=110034
CM7_MAGIC=C07C07C7 CM7=132000000 CM4_MAGIC=C04C04C4 CM4=110873
CM7_MAGIC=C07C07C7 CM7=133000000 CM4_MAGIC=C04C04C4 CM4=111713
CM7_MAGIC=C07C07C7 CM7=134000000 CM4_MAGIC=C04C04C4 CM4=112552
CM7_MAGIC=C07C07C7 CM7=135000000 CM4_MAGIC=C04C04C4 CM4=113391
CM7_MAGIC=C07C07C7 CM7=136000000 CM4_MAGIC=C04C04C4 CM4=114231
CM7_MAGIC=C07C07C7 CM7=137000000 CM4_MAGIC=C04C04C4 CM4=115070
CM7_MAGIC=C07C07C7 CM7=138000000 CM4_MAGIC=C04C04C4 CM4=115909
CM7_MAGIC=C07C07C7 CM7=139000000 CM4_MAGIC=C04C04C4 CM4=116749
CM7_MAGIC=C07C07C7 CM7=140000000 CM4_MAGIC=C04C04C4 CM4=117588
CM7_MAGIC=C07C07C7 CM7=141000000 CM4_MAGIC=C04C04C4 CM4=118427
CM7_MAGIC=C07C07C7 CM7=142000000 CM4_MAGIC=C04C04C4 CM4=119267
CM7_MAGIC=C07C07C7 CM7=143000000 CM4_MAGIC=C04C04C4 CM4=120106
CM7_MAGIC=C07C07C7 CM7=144000000 CM4_MAGIC=C04C04C4 CM4=120945
CM7_MAGIC=C07C07C7 CM7=145000000 CM4_MAGIC=C04C04C4 CM4=121785
CM7_MAGIC=C07C07C7 CM7=146000000 CM4_MAGIC=C04C04C4 CM4=122624
CM7_MAGIC=C07C07C7 CM7=147000000 CM4_MAGIC=C04C04C4 CM4=123463
CM7_MAGIC=C07C07C7 CM7=148000000 CM4_MAGIC=C04C04C4 CM4=124303
CM7_MAGIC=C07C07C7 CM7=149000000 CM4_MAGIC=C04C04C4 CM4=125142
CM7_MAGIC=C07C07C7 CM7=150000000 CM4_MAGIC=C04C04C4 CM4=125982
CM7_MAGIC=C07C07C7 CM7=151000000 CM4_MAGIC=C04C04C4 CM4=126821
CM7_MAGIC=C07C07C7 CM7=152000000 CM4_MAGIC=C04C04C4 CM4=127660
CM7_MAGIC=C07C07C7 CM7=153000000 CM4_MAGIC=C04C04C4 CM4=128500
CM7_MAGIC=C07C07C7 CM7=154000000 CM4_MAGIC=C04C04C4 CM4=129339
CM7_MAGIC=C07C07C7 CM7=155000000 CM4_MAGIC=C04C04C4 CM4=130178
CM7_MAGIC=C07C07C7 CM7=156000000 CM4_MAGIC=C04C04C4 CM4=131018
CM7_MAGIC=C07C07C7 CM7=157000000 CM4_MAGIC=C04C04C4 CM4=131857
CM7_MAGIC=C07C07C7 CM7=158000000 CM4_MAGIC=C04C04C4 CM4=132696
CM7_MAGIC=C07C07C7 CM7=159000000 CM4_MAGIC=C04C04C4 CM4=133536
CM7_MAGIC=C07C07C7 CM7=160000000 CM4_MAGIC=C04C04C4 CM4=134375
CM7_MAGIC=C07C07C7 CM7=161000000 CM4_MAGIC=C04C04C4 CM4=135214
CM7_MAGIC=C07C07C7 CM7=162000000 CM4_MAGIC=C04C04C4 CM4=136054
CM7_MAGIC=C07C07C7 CM7=163000000 CM4_MAGIC=C04C04C4 CM4=136893
CM7_MAGIC=C07C07C7 CM7=164000000 CM4_MAGIC=C04C04C4 CM4=137732
CM7_MAGIC=C07C07C7 CM7=165000000 CM4_MAGIC=C04C04C4 CM4=138572
CM7_MAGIC=C07C07C7 CM7=166000000 CM4_MAGIC=C04C04C4 CM4=139411
CM7_MAGIC=C07C07C7 CM7=167000000 CM4_MAGIC=C04C04C4 CM4=140250
CM7_MAGIC=C07C07C7 CM7=168000000 CM4_MAGIC=C04C04C4 CM4=141090
CM7_MAGIC=C07C07C7 CM7=169000000 CM4_MAGIC=C04C04C4 CM4=141929
CM7_MAGIC=C07C07C7 CM7=170000000 CM4_MAGIC=C04C04C4 CM4=142769
CM7_MAGIC=C07C07C7 CM7=171000000 CM4_MAGIC=C04C04C4 CM4=143608
CM7_MAGIC=C07C07C7 CM7=172000000 CM4_MAGIC=C04C04C4 CM4=144447
CM7_MAGIC=C07C07C7 CM7=173000000 CM4_MAGIC=C04C04C4 CM4=145287
CM7_MAGIC=C07C07C7 CM7=174000000 CM4_MAGIC=C04C04C4 CM4=146126
CM7_MAGIC=C07C07C7 CM7=175000000 CM4_MAGIC=C04C04C4 CM4=146965
CM7_MAGIC=C07C07C7 CM7=176000000 CM4_MAGIC=C04C04C4 CM4=147805
CM7_MAGIC=C07C07C7 CM7=177000000 CM4_MAGIC=C04C04C4 CM4=148644
CM7_MAGIC=C07C07C7 CM7=178000000 CM4_MAGIC=C04C04C4 CM4=149483
CM7_MAGIC=C07C07C7 CM7=179000000 CM4_MAGIC=C04C04C4 CM4=150323
CM7_MAGIC=C07C07C7 CM7=180000000 CM4_MAGIC=C04C04C4 CM4=151162
CM7_MAGIC=C07C07C7 CM7=181000000 CM4_MAGIC=C04C04C4 CM4=152001
CM7_MAGIC=C07C07C7 CM7=182000000 CM4_MAGIC=C04C04C4 CM4=152841
CM7_MAGIC=C07C07C7 CM7=183000000 CM4_MAGIC=C04C04C4 CM4=153680
CM7_MAGIC=C07C07C7 CM7=184000000 CM4_MAGIC=C04C04C4 CM4=154519
CM7_MAGIC=C07C07C7 CM7=185000000 CM4_MAGIC=C04C04C4 CM4=155359
CM7_MAGIC=C07C07C7 CM7=186000000 CM4_MAGIC=C04C04C4 CM4=156198
CM7_MAGIC=C07C07C7 CM7=187000000 CM4_MAGIC=C04C04C4 CM4=157038
CM7_MAGIC=C07C07C7 CM7=188000000 CM4_MAGIC=C04C04C4 CM4=157877
CM7_MAGIC=C07C07C7 CM7=189000000 CM4_MAGIC=C04C04C4 CM4=158716
CM7_MAGIC=C07C07C7 CM7=190000000 CM4_MAGIC=C04C04C4 CM4=159556
CM7_MAGIC=C07C07C7 CM7=191000000 CM4_MAGIC=C04C04C4 CM4=160395
CM7_MAGIC=C07C07C7 CM7=192000000 CM4_MAGIC=C04C04C4 CM4=161234
CM7_MAGIC=C07C07C7 CM7=193000000 CM4_MAGIC=C04C04C4 CM4=162074
CM7_MAGIC=C07C07C7 CM7=194000000 CM4_MAGIC=C04C04C4 CM4=162913
CM7_MAGIC=C07C07C7 CM7=195000000 CM4_MAGIC=C04C04C4 CM4=163752
CM7_MAGIC=C07C07C7 CM7=196000000 CM4_MAGIC=C04C04C4 CM4=164592
CM7_MAGIC=C07C07C7 CM7=197000000 CM4_MAGIC=C04C04C4 CM4=165431
CM7_MAGIC=C07C07C7 CM7=198000000 CM4_MAGIC=C04C04C4 CM4=166270
CM7_MAGIC=C07C07C7 CM7=199000000 CM4_MAGIC=C04C04C4 CM4=167110
CM7_MAGIC=C07C07C7 CM7=200000000 CM4_MAGIC=C04C04C4 CM4=167949
CM7_MAGIC=C07C07C7 CM7=201000000 CM4_MAGIC=C04C04C4 CM4=168788
CM7_MAGIC=C07C07C7 CM7=202000000 CM4_MAGIC=C04C04C4 CM4=169628
CM7_MAGIC=C07C07C7 CM7=203000000 CM4_MAGIC=C04C04C4 CM4=170467
CM7_MAGIC=C07C07C7 CM7=204000000 CM4_MAGIC=C04C04C4 CM4=171307
CM7_MAGIC=C07C07C7 CM7=205000000 CM4_MAGIC=C04C04C4 CM4=172146
CM7_MAGIC=C07C07C7 CM7=206000000 CM4_MAGIC=C04C04C4 CM4=172985
CM7_MAGIC=C07C07C7 CM7=207000000 CM4_MAGIC=C04C04C4 CM4=173825
CM7_MAGIC=C07C07C7 CM7=208000000 CM4_MAGIC=C04C04C4 CM4=174664
CM7_MAGIC=C07C07C7 CM7=209000000 CM4_MAGIC=C04C04C4 CM4=175503
CM7_MAGIC=C07C07C7 CM7=210000000 CM4_MAGIC=C04C04C4 CM4=176343
CM7_MAGIC=C07C07C7 CM7=211000000 CM4_MAGIC=C04C04C4 CM4=177182
CM7_MAGIC=C07C07C7 CM7=212000000 CM4_MAGIC=C04C04C4 CM4=178021
CM7_MAGIC=C07C07C7 CM7=213000000 CM4_MAGIC=C04C04C4 CM4=178861
CM7_MAGIC=C07C07C7 CM7=214000000 CM4_MAGIC=C04C04C4 CM4=179700
CM7_MAGIC=C07C07C7 CM7=215000000 CM4_MAGIC=C04C04C4 CM4=180539
CM7_MAGIC=C07C07C7 CM7=216000000 CM4_MAGIC=C04C04C4 CM4=181379
CM7_MAGIC=C07C07C7 CM7=217000000 CM4_MAGIC=C04C04C4 CM4=182218
CM7_MAGIC=C07C07C7 CM7=218000000 CM4_MAGIC=C04C04C4 CM4=183057
CM7_MAGIC=C07C07C7 CM7=219000000 CM4_MAGIC=C04C04C4 CM4=183897
CM7_MAGIC=C07C07C7 CM7=220000000 CM4_MAGIC=C04C04C4 CM4=184736
CM7_MAGIC=C07C07C7 CM7=221000000 CM4_MAGIC=C04C04C4 CM4=185575
CM7_MAGIC=C07C07C7 CM7=222000000 CM4_MAGIC=C04C04C4 CM4=186415
CM7_MAGIC=C07C07C7 CM7=223000000 CM4_MAGIC=C04C04C4 CM4=187254
CM7_MAGIC=C07C07C7 CM7=224000000 CM4_MAGIC=C04C04C4 CM4=188094
CM7_MAGIC=C07C07C7 CM7=225000000 CM4_MAGIC=C04C04C4 CM4=188933
CM7_MAGIC=C07C07C7 CM7=226000000 CM4_MAGIC=C04C04C4 CM4=189772
CM7_MAGIC=C07C07C7 CM7=227000000 CM4_MAGIC=C04C04C4 CM4=190612
CM7_MAGIC=C07C07C7 CM7=228000000 CM4_MAGIC=C04C04C4 CM4=191451
CM7_MAGIC=C07C07C7 CM7=229000000 CM4_MAGIC=C04C04C4 CM4=192290
CM7_MAGIC=C07C07C7 CM7=230000000 CM4_MAGIC=C04C04C4 CM4=193130
CM7_MAGIC=C07C07C7 CM7=231000000 CM4_MAGIC=C04C04C4 CM4=193969
CM7_MAGIC=C07C07C7 CM7=232000000 CM4_MAGIC=C04C04C4 CM4=194808
CM7_MAGIC=C07C07C7 CM7=233000000 CM4_MAGIC=C04C04C4 CM4=195648
CM7_MAGIC=C07C07C7 CM7=234000000 CM4_MAGIC=C04C04C4 CM4=196487
CM7_MAGIC=C07C07C7 CM7=235000000 CM4_MAGIC=C04C04C4 CM4=197326
CM7_MAGIC=C07C07C7 CM7=236000000 CM4_MAGIC=C04C04C4 CM4=198166
CM7_MAGIC=C07C07C7 CM7=237000000 CM4_MAGIC=C04C04C4 CM4=199005
CM7_MAGIC=C07C07C7 CM7=238000000 CM4_MAGIC=C04C04C4 CM4=199844
CM7_MAGIC=C07C07C7 CM7=239000000 CM4_MAGIC=C04C04C4 CM4=200684
CM7_MAGIC=C07C07C7 CM7=240000000 CM4_MAGIC=C04C04C4 CM4=201523
CM7_MAGIC=C07C07C7 CM7=241000000 CM4_MAGIC=C04C04C4 CM4=202362
CM7_MAGIC=C07C07C7 CM7=242000000 CM4_MAGIC=C04C04C4 CM4=203202
CM7_MAGIC=C07C07C7 CM7=243000000 CM4_MAGIC=C04C04C4 CM4=204041
CM7_MAGIC=C07C07C7 CM7=244000000 CM4_MAGIC=C04C04C4 CM4=204881
CM7_MAGIC=C07C07C7 CM7=245000000 CM4_MAGIC=C04C04C4 CM4=205720
CM7_MAGIC=C07C07C7 CM7=246000000 CM4_MAGIC=C04C04C4 CM4=206559
CM7_MAGIC=C07C07C7 CM7=247000000 CM4_MAGIC=C04C04C4 CM4=207399
CM7_MAGIC=C07C07C7 CM7=248000000 CM4_MAGIC=C04C04C4 CM4=208238
CM7_MAGIC=C07C07C7 CM7=249000000 CM4_MAGIC=C04C04C4 CM4=209077
CM7_MAGIC=C07C07C7 CM7=250000000 CM4_MAGIC=C04C04C4 CM4=209917
CM7_MAGIC=C07C07C7 CM7=251000000 CM4_MAGIC=C04C04C4 CM4=210756
CM7_MAGIC=C07C07C7 CM7=252000000 CM4_MAGIC=C04C04C4 CM4=211595
CM7_MAGIC=C07C07C7 CM7=253000000 CM4_MAGIC=C04C04C4 CM4=212435
CM7_MAGIC=C07C07C7 CM7=254000000 CM4_MAGIC=C04C04C4 CM4=213274
CM7_MAGIC=C07C07C7 CM7=255000000 CM4_MAGIC=C04C04C4 CM4=214113
CM7_MAGIC=C07C07C7 CM7=256000000 CM4_MAGIC=C04C04C4 CM4=214953
CM7_MAGIC=C07C07C7 CM7=257000000 CM4_MAGIC=C04C04C4 CM4=215792
CM7_MAGIC=C07C07C7 CM7=258000000 CM4_MAGIC=C04C04C4 CM4=216631
CM7_MAGIC=C07C07C7 CM7=259000000 CM4_MAGIC=C04C04C4 CM4=217471
CM7_MAGIC=C07C07C7 CM7=260000000 CM4_MAGIC=C04C04C4 CM4=218310
CM7_MAGIC=C07C07C7 CM7=261000000 CM4_MAGIC=C04C04C4 CM4=219150
CM7_MAGIC=C07C07C7 CM7=262000000 CM4_MAGIC=C04C04C4 CM4=219989
CM7_MAGIC=C07C07C7 CM7=263000000 CM4_MAGIC=C04C04C4 CM4=220828
CM7_MAGIC=C07C07C7 CM7=264000000 CM4_MAGIC=C04C04C4 CM4=221668
CM7_MAGIC=C07C07C7 CM7=265000000 CM4_MAGIC=C04C04C4 CM4=222507
CM7_MAGIC=C07C07C7 CM7=266000000 CM4_MAGIC=C04C04C4 CM4=223346
CM7_MAGIC=C07C07C7 CM7=267000000 CM4_MAGIC=C04C04C4 CM4=224186
CM7_MAGIC=C07C07C7 CM7=268000000 CM4_MAGIC=C04C04C4 CM4=225025
CM7_MAGIC=C07C07C7 CM7=269000000 CM4_MAGIC=C04C04C4 CM4=225864
CM7_MAGIC=C07C07C7 CM7=270000000 CM4_MAGIC=C04C04C4 CM4=226704
CM7_MAGIC=C07C07C7 CM7=271000000 CM4_MAGIC=C04C04C4 CM4=227543
CM7_MAGIC=C07C07C7 CM7=272000000 CM4_MAGIC=C04C04C4 CM4=228382
CM7_MAGIC=C07C07C7 CM7=273000000 CM4_MAGIC=C04C04C4 CM4=229222
CM7_MAGIC=C07C07C7 CM7=274000000 CM4_MAGIC=C04C04C4 CM4=230061
CM7_MAGIC=C07C07C7 CM7=275000000 CM4_MAGIC=C04C04C4 CM4=230900
CM7_MAGIC=C07C07C7 CM7=276000000 CM4_MAGIC=C04C04C4 CM4=231740
CM7_MAGIC=C07C07C7 CM7=277000000 CM4_MAGIC=C04C04C4 CM4=232579
CM7_MAGIC=C07C07C7 CM7=278000000 CM4_MAGIC=C04C04C4 CM4=233418
CM7_MAGIC=C07C07C7 CM7=279000000 CM4_MAGIC=C04C04C4 CM4=234258
CM7_MAGIC=C07C07C7 CM7=280000000 CM4_MAGIC=C04C04C4 CM4=235097
CM7_MAGIC=C07C07C7 CM7=281000000 CM4_MAGIC=C04C04C4 CM4=235937
CM7_MAGIC=C07C07C7 CM7=282000000 CM4_MAGIC=C04C04C4 CM4=236776
CM7_MAGIC=C07C07C7 CM7=283000000 CM4_MAGIC=C04C04C4 CM4=237615
CM7_MAGIC=C07C07C7 CM7=284000000 CM4_MAGIC=C04C04C4 CM4=238455
CM7_MAGIC=C07C07C7 CM7=285000000 CM4_MAGIC=C04C04C4 CM4=239294
